keys,en,uk
NIGHT7_4,"Are they this ignorant to what’s going on?","Чи вони настільки невігласні щодо того, що зараз відбувається?"
NIGHT7_5,"To who’s actually important here?","Щодо того, хто насправді важливий?"
NIGHT7_6,"...","..."
NIGHT7_7,"You’re truly leaving me no other choice.","Ти справді не лишаєш мені іншого вибору."
NIGHT8_1,"As the snake continued devouring its flesh,","Як і змія продовжувала пожирати свою плоть,"
NIGHT8_2,"Night rebirthed once again.","Ніч знову переродилася."
NIGHT9_1,"Grief, obsession, despair, greed, guilt, rage, envy, fear, pride.","Горе, одержимість, відчай, жадібність, провина, лють, заздрість, страх, гордість."
NIGHT9_2,"Have you felt those at least once?","Чи були в тебе такі почуття?"
NIGHT9_3,"...","..."
NIGHT9_4,"Of course you have.","Звісно, були."
NIGHT9_5,"If not, would there really be anything for you to gain?","Якщо б ні, то чи мав би ти взагалі можливість отримати щось нове?"
NIGHT9_6,"Would anything exist without those concepts?","Чи існувало б щось без них?"
NIGHT9_7,"But it doesn’t just end there, does it?","Але це не все, правда?"
NIGHT9_8,"Only when you listen is when you feel at peace, if only for a moment.","Тільки коли ти слухаєшся, ти можеш відчути спокій, навіть якщо лиш на одну мить."
NIGHT9_9,"After following the call,","Після слухняного наслідування кличу,"
NIGHT9_10,"There it is.","Ось воно."
NIGHT9_11,"[center][color=#db6977]Bliss.[/color][/center]","[center][color=#db6977]Блаженство.[/color][/center]"
NIGHT9_12,"We had fun.","Ми добре розважилися."
NIGHT9_13,"See you soon.","До зустрічі."
